Designator,Mid X,Mid Y,Rotation,Layer
C1,9.4,27.5,180.0,bottom
IC1,8.9,51.2,90.0,bottom
J1,65.0,39.0,0.0,bottom
J2,195.0,39.0,0.0,bottom
J3,35.55,4.275,180.0,bottom
J4,65.0,29.0,0.0,bottom
J5,5.6,4.7,180.0,bottom
J6,65.0,54.0,0.0,bottom
J7,206.6,3.86,180.0,bottom
J8,214.9,15.6,0.0,bottom
J9,214.9,25.6,0.0,bottom
K1,21.9,49.0,90.0,top
K2,47.4,49.0,90.0,top
K3,72.9,49.0,90.0,top
K4,98.4,49.0,90.0,top
K5,223.22,26.99,90.0,top
R1,130.4,39.1,0.0,bottom
R2,130.31,34.0,0.0,bottom
R3,213.9,7.4,180.0,bottom
R4,213.8,4.7,0.0,bottom
RCA1,27.0,21.0,0.0,top
RCA10,228.6,45.5,0.0,top
RCA2,52.5,21.0,0.0,top
RCA3,78.0,21.0,0.0,top
RCA4,103.5,21.0,0.0,top
RCA5,27.0,39.2,0.0,top
RCA6,52.5,39.2,0.0,top
RCA7,78.0,39.2,0.0,top
RCA8,103.5,39.2,0.0,top
RCA9,228.6,15.5,0.0,top
U1,9.7,37.1,90.0,bottom
