Designator,Mid X,Mid Y,Rotation,Layer
12V TR1,215.8,45.8,0.0,bottom
12V TR2,215.82,54.715,0.0,bottom
C1,9.4,27.5,180.0,bottom
IC1,8.9,51.2,90.0,bottom
J1,65.0,39.0,0.0,bottom
J2,195.0,39.0,0.0,bottom
J3,35.55,4.7,180.0,bottom
J4,65.0,29.0,0.0,bottom
J5,5.6,4.7,180.0,bottom
J6,65.0,54.0,0.0,bottom
J7,206.6,3.86,180.0,bottom
K1,21.9,49.0,90.0,top
K2,47.4,49.0,90.0,top
K3,72.9,49.0,90.0,top
K4,98.4,49.0,90.0,top
K5,223.4998,23.694,90.0,top
K6,176.38,38.04,90.0,top
K7,176.38,48.82,90.0,top
NTC1,214.9,15.6,0.0,bottom
NTC2,214.9,25.6,0.0,bottom
R3,213.83,7.41,180.0,bottom
R4,213.8,4.7,0.0,bottom
RCA1,27.0,21.0,0.0,top
RCA10,228.6,42.5,0.0,top
RCA2,52.5,21.0,0.0,top
RCA3,78.0,21.0,0.0,top
RCA4,103.5,21.0,0.0,top
RCA5,27.0,39.2,0.0,top
RCA6,52.5,39.2,0.0,top
RCA7,78.0,39.2,0.0,top
RCA8,103.5,39.2,0.0,top
RCA9,228.6,12.5,0.0,top
SW1,206.86,45.79,0.0,bottom
SW2,206.91,54.71,0.0,bottom
U1,9.7,37.1,90.0,bottom
